feature,dtype,missing_count,missing_percent,unique_values,dictionary_category,unit,dictionary_data_type,description,example,uniqueness_ratio,high_missing_flag,high_cardinality_flag,decision,decision_reason,deep_review_status,final_decision,notes
encounter_id,int64,0,0.0,91713,identifier,,integer,Unique identifier associated with a patient unit stay,,1.0,False,True,DROP,Known identifier or constant feature.,NOT_REVIEWED,,
patient_id,int64,0,0.0,91713,identifier,,integer,Unique identifier associated with a patient,,1.0,False,True,DROP,Known identifier or constant feature.,NOT_REVIEWED,,
hospital_id,int64,0,0.0,147,identifier,,integer,Unique identifier associated with a hospital,,0.0016028262078440353,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
hospital_death,int64,0,0.0,2,demographic,,binary,Whether the patient died during this hospitalization,0,2.1807159290395036e-05,False,False,TARGET,Target variable.,NOT_REVIEWED,,
age,float64,4228,4.610033473989511,74,demographic,Years,numeric,The age of the patient on unit admission,,0.0008068648937446163,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
bmi,float64,3429,3.738837460338229,34888,demographic,kilograms/metres^2,string,The body mass index of the person on unit admission,21.5,0.38040408666165104,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
elective_surgery,int64,0,0.0,2,demographic,,binary,Whether the patient was admitted to the hospital for an elective surgical operation,0,2.1807159290395036e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
ethnicity,str,1395,1.5210493605050537,6,demographic,,string,The common national or cultural tradition which the person belongs to,Caucasian,6.542147787118511e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
gender,str,25,0.0272589491129937,2,demographic,,string,The genotypical sex of the patient,F,2.1807159290395036e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
height,float64,1334,1.454537524669349,401,demographic,centimetres,numeric,The height of the person on unit admission,180,0.004372335437724205,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
hospital_admit_source,str,21409,23.343473662403365,15,demographic,,string,The location of the patient prior to being admitted to the hospital,Home,0.0001635536946779628,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
icu_admit_source,str,112,0.1221200920262122,5,demographic,,string,The location of the patient prior to being admitted to the unit,Operating room,5.4517898225987594e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
icu_id,int64,0,0.0,241,demographic,,integer,A unique identifier for the unit to which the patient was admitted,,0.002627762694492602,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
icu_stay_type,str,0,0.0,3,demographic,,string,,,3.2710738935592555e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
