feature,semantic_type,dictionary_data_type,feature_description,missing_percent,unique_values,level1_findings,category_inconsistency,level1_status,decision_rule,decision_reason,baseline_action,level2_followup
encounter_id,IDENTIFIER,integer,Unique identifier associated with a patient unit stay,0.0,91713,NO_SPECIAL_FINDING,,DROP,02_PURE_IDENTIFIER,PURE_IDENTIFIER,REMOVE,NONE
patient_id,IDENTIFIER,integer,Unique identifier associated with a patient,0.0,91713,NO_SPECIAL_FINDING,,DROP,02_PURE_IDENTIFIER,PURE_IDENTIFIER,REMOVE,NONE
hospital_id,IDENTIFIER,integer,Unique identifier associated with a hospital,0.0,147,NO_SPECIAL_FINDING,,INVESTIGATE,03_SITE_IDENTIFIER,SITE_OR_UNIT_IDENTIFIER,KEEP_OUT_OF_BASELINE_UNTIL_REVIEWED,SITE_EFFECT_AND_GENERALIZATION
hospital_death,TARGET,binary,Whether the patient died during this hospitalization,0.0,2,NO_SPECIAL_FINDING,,TARGET,01_TARGET,TARGET_VARIABLE,TARGET_ONLY,IMBALANCE_AWARE_MODEL_EVALUATION
age,CONTINUOUS,numeric,The age of the patient on unit admission,4.61,74,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
bmi,CONTINUOUS,string,The body mass index of the person on unit admission,3.74,34888,A1_HIGH_SKEWNESS | DICTIONARY_ANALYTICAL_TYPE_MISMATCH,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
elective_surgery,BINARY,binary,Whether the patient was admitted to the hospital for an elective surgical operation,0.0,2,A1_LOW_UNIQUE_VALUES,,KEEP_FOR_NOW,13_BINARY_DEFAULT,VALID_BINARY_FEATURE,KEEP_RAW,TARGET_RELATIONSHIP
ethnicity,CATEGORICAL,string,The common national or cultural tradition which the person belongs to,1.52,6,B4_HAS_RARE_CATEGORIES,,KEEP_FOR_NOW,14_CATEGORICAL_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,MODE_IMPUTATION_THEN_ENCODE,TARGET_RELATIONSHIP
gender,CATEGORICAL,string,The genotypical sex of the patient,0.03,2,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,14_CATEGORICAL_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,MODE_IMPUTATION_THEN_ENCODE,TARGET_RELATIONSHIP
height,CONTINUOUS,numeric,The height of the person on unit admission,1.45,401,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
hospital_admit_source,CATEGORICAL,string,The location of the patient prior to being admitted to the hospital,23.34,15,B1_MODERATE_CARDINALITY | B4_HAS_RARE_CATEGORIES,,KEEP_FOR_NOW,14_CATEGORICAL_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,ADD_UNKNOWN_CATEGORY_THEN_ENCODE,TARGET_RELATIONSHIP
icu_admit_source,CATEGORICAL,string,The location of the patient prior to being admitted to the unit,0.12,5,B4_HAS_RARE_CATEGORIES,,KEEP_FOR_NOW,14_CATEGORICAL_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,MODE_IMPUTATION_THEN_ENCODE,TARGET_RELATIONSHIP
icu_id,IDENTIFIER,integer,A unique identifier for the unit to which the patient was admitted,0.0,241,NO_SPECIAL_FINDING,,INVESTIGATE,03_SITE_IDENTIFIER,SITE_OR_UNIT_IDENTIFIER,KEEP_OUT_OF_BASELINE_UNTIL_REVIEWED,SITE_EFFECT_AND_GENERALIZATION
icu_stay_type,CATEGORICAL,string,,0.0,3,B3_VERY_HIGH_CATEGORY_DOMINANCE | B4_HAS_RARE_CATEGORIES,,KEEP_FOR_NOW,14_CATEGORICAL_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,ENCODE_LATER,TARGET_RELATIONSHIP
icu_type,CATEGORICAL,string,A classification which indicates the type of care the unit is capable of providing,0.0,8,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,14_CATEGORICAL_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,ENCODE_LATER,TARGET_RELATIONSHIP
